phyto_class,Diatom,Diatom,Dinoflagellate,Dinoflagellate,Haptophyte,Haptophyte,Chlorophyte,Cryptophyte,Cryptophyte,Cyanophyte,Cyanophyte,NAP,CDOM
phyto_taxa,Skel,Sthal,Alex,Cerat,Luth,Parv,Dun,Rsal,Cfrag,Syma,Syn,BrnEarth,CDOM
wavelength,,,,,,,,,,,,,
506,6.61928833662807e-05,0.000509473,0.000304182,0.0002942925,0.0009116985,0.000860503,1.26195174493753e-05,0.000272518,0.0031754825303030934,0.0006318405,6.41507136349833e-06,0.014843507527121741,0.0302314209693834
507,6.66629483196837e-05,0.0005176815,0.0003089665,0.0003008905,0.0009407715,0.0008872095,1.3201141749246e-05,0.0002824265,0.0032568478636364265,0.0006506595,6.68709687215305e-06,0.014968731461195553,0.0303185563470947
508,6.7140144027111e-05,0.000526008,0.000313968,0.000307781,0.000970975,0.0009137915,1.38196897888841e-05,0.0002931825,0.0033382131969697595,0.0006710735,6.97948071667173e-06,0.015093955395269365,0.03040569172480601
509,6.76207286077379e-05,0.000534408,0.0003190985,0.0003149125,0.001002196,0.0009402015,1.44775527789746e-05,0.0003047295,0.0034384751666667393,0.000693205,7.29282113574248e-06,0.015219179329343177,0.030494256081165197
510,6.81334015814742e-05,0.0005428405,0.0003241995,0.00032215975,0.00103410825,0.0009663505,1.51727488151659e-05,0.000316999,0.003550352500000055,0.000716793,7.62805648344974e-06,0.015324354815202668,0.0307030086655897
511,6.87086981078791e-05,0.000551281,0.000329131,0.0003294155,0.001066471,0.0009922475,1.59053425247738e-05,0.000329943,0.0036622298333333775,0.000741618,7.98682052839356e-06,0.015424091397356114,0.030911761250014214
512,6.93164360350184e-05,0.000559733,0.000333931,0.000336727,0.001099259,0.0010179945,1.6674213700991e-05,0.000343541,0.003774107166666721,0.000767597,8.36683874886122e-06,0.015523827979509554,0.031120513834438715
513,6.99252329850325e-05,0.000568188,0.0003386335,0.000344132,0.0011323665,0.0010436125,1.74763464024128e-05,0.00035775,0.003885984500000078,0.0007945985,8.76525964166414e-06,0.015623564561662993,0.031329266418863216
514,7.0540031064671e-05,0.000576694,0.0003432805,0.0003518465,0.00116571,0.001069124,1.83124515295131e-05,0.000372211,0.003997861833333428,0.000822527,9.18481627695111e-06,0.01572330114381644,0.03153801900328773
515,7.11669726066083e-05,0.000585316,0.000347894,0.000360083,0.00119929,0.0010947125,1.9185092632486e-05,0.0003865305,0.004115362371794953,0.0008512925,9.62890980868509e-06,0.01582303772596988,0.031732082373662124
516,7.18093758825191e-05,0.0005941105,0.000352403,0.000368804,0.001233445,0.0011208955,2.01037483843171e-05,0.000400692,0.004235845653846201,0.000881004,1.01010324931673e-05,0.015922774308123326,0.03192464435713323
517,7.24678763061282e-05,0.0006030865,0.000356748,0.0003779665,0.00126833,0.001147965,2.10722964239552e-05,0.0004146055,0.004356328935897456,0.000911631,1.06025204980261e-05,0.016022510890276766,0.03211720634060433
518,7.31338604913866e-05,0.000612074,0.0003608965,0.0003874705,0.00130336,0.001175395,2.20680956484274e-05,0.0004278915,0.0044609714861111385,0.0009425215,1.11241117522016e-05,0.016122247472430205,0.032309768324075464
519,7.380062129342e-05,0.0006209365,0.000364837,0.000397245,0.00133805,0.001202745,2.30709392503231e-05,0.00044022,0.004563525708333363,0.0009731085,1.16576677801397e-05,0.016221984054583652,0.03250233030754651
520,7.44712651793279e-05,0.000629728,0.000368731,0.0004074625,0.00137272,0.001230135,2.40883455407152e-05,0.000451615,0.004656942222222245,0.0010036885,1.22058001822047e-05,0.016325452917424654,0.03269489229101756
521,7.51491810223101e-05,0.000638501,0.0003727315,0.000418295,0.00140769,0.001257715,2.51284144765187e-05,0.000462096,0.0047315271111111265,0.0010345625,1.27712723959915e-05,0.0164615229964353,0.03288745427448861
522,7.58417819824908e-05,0.0006472245,0.000376856,0.000429582,0.001442975,0.00128535,2.61830676432572e-05,0.000471322,0.004806112000000008,0.0010654555,1.33503492256301e-05,0.016597593075445935,0.03308001625795966
523,7.65561988138944e-05,0.0006558645,0.000381122,0.000441149,0.00147858,0.001312865,2.72427186557518e-05,0.0004789375,0.004877447925925926,0.0010960655,1.39387488612208e-05,0.016733663154456582,0.03325932666162716
524,7.72880542219712e-05,0.0006643655,0.000385488,0.0004527935,0.00151456,0.00134017,2.83071305471779e-05,0.0004852355,0.004927171185185188,0.001126501,1.45353477072578e-05,0.01686973323346723,0.03343572032989969
525,7.80357243716464e-05,0.000672677,0.000389913,0.000464291,0.001550855,0.001367125,2.93751400258509e-05,0.000490499,0.004976894444444449,0.001156765,1.51377163680534e-05,0.017005803312477877,0.033612113998172224
526,7.88150946060435e-05,0.000680828,0.000394408,0.000475594,0.001586825,0.001393505,3.04400689358035e-05,0.000494465,0.005026617703703714,0.00118625,1.57398724567264e-05,0.017141873391488524,0.033788507666444756
527,7.96414854560859e-05,0.0006888745,0.0003989875,0.0004866805,0.001622015,0.00141922,3.15001292546316e-05,0.0004969805,0.005066608199999996,0.00121453,1.63383540844215e-05,0.01727794347049917,0.03396490133471729
528,8.05256989550975e-05,0.000696984,0.0004036775,0.000497652,0.001656935,0.001444775,3.25788237828522e-05,0.000498342,0.005083389799999996,0.00124215,1.69435469177042e-05,0.017414013549509805,0.03424490259297938
